fig_num,bricklink_id
fig-000001,twn381
fig-000002,twn382
fig-000003,sw0215
fig-000004,pln102
fig-000005,sh0250
fig-000006,njo0571
fig-000007,njo0570
fig-000008,sh0150
fig-000009,sh0087
fig-000010,sh0151
fig-000011,sh0148
fig-000012,sh0149
fig-000013,sh0147
fig-000014,shg001
fig-000015,loc087
fig-000016,loc078
fig-000017,loc091
fig-000018,toy006
fig-000019,sp042
fig-000020,sp005
fig-000021,sim014
fig-000022,col135
fig-000023,col148
fig-000024,col040
fig-000025,col114
fig-000026,loc110
fig-000027,sp046
fig-000028,sh0037
fig-000029,hp116
fig-000030,sp037
fig-000031,col057
fig-000032,sh0016a
fig-000033,pln175
fig-000034,aqu002
fig-000035,sim015
fig-000036,col064
fig-000037,col027
fig-000038,cty0195
fig-000039,cop003
fig-000040,pln078
fig-000041,sim016
fig-000043,adv033
fig-000044,nba027
fig-000045,cty0091
fig-000046,col031
fig-000047,col149
fig-000048,cty0031
fig-000049,tls086
fig-000050,sim017
fig-000051,cty0079
fig-000052,cty0008
fig-000053,pi080
fig-000054,sw0355
fig-000055,sim019
fig-000056,sw0502
fig-000057,cas244
fig-000058,sw0442
fig-000059,cty0049
fig-000060,sim040
fig-000061,sp002
fig-000062,sp002
fig-000063,sim020
fig-000064,sw0130
fig-000065,sp033
fig-000066,col129
fig-000067,cty0194
fig-000068,sim021
fig-000069,cas058
fig-000070,sp036
fig-000071,sp011
fig-000072,cas168
fig-000073,chef016
fig-000074,pck020
fig-000075,sw0271
fig-000076,sp013
fig-000077,doc034
fig-000078,sw0242
fig-000079,spp016
fig-000080,col165
fig-000081,sim041
fig-000082,col170
fig-000083,njo0048
fig-000084,pln149
fig-000085,rac019
fig-000086,sp043
fig-000087,cty0062
fig-000088,sp016
fig-000089,col182
fig-000090,cty0074
fig-000091,sw0428
fig-000092,tlm016
fig-000093,alp020
fig-000094,sim042
fig-000095,air038
fig-000096,alp017a
fig-000097,cas046cm
fig-000098,cty1721
fig-000099,spp005
fig-000100,pln037
fig-000101,cty0157
fig-000102,spp011
fig-000103,spp003
fig-000104,pln051
fig-000105,lom016
fig-000106,sp051
fig-000107,sp051
fig-000108,cty0174
fig-000109,njo0006
fig-000110,col140
fig-000111,njo0018
fig-000112,old012
fig-000113,sp018
fig-000114,sp039
fig-000115,sw0546
fig-000116,arc004
fig-000117,col043
fig-000118,cty1720
fig-000119,lom014
fig-000120,hol010
fig-000122,lor035
fig-000123,ixs001
fig-000124,sw0011a
fig-000125,loc100
fig-000126,rac008
fig-000127,ovr001
fig-000128,trc003
fig-000129,stu002
fig-000130,pln176
fig-000131,sim009
fig-000132,nex027
fig-000133,pln032
fig-000134,con014
fig-000135,oct006
fig-000136,cty1723
fig-000137,pi064
fig-000138,rck001
fig-000139,cty0238
fig-000140,cty0113
fig-000141,cty0685
fig-000142,sw0581
fig-000143,loc068
fig-000144,sw0551
fig-000145,lor092
fig-000146,s012
fig-000147,sh0082
fig-000148,rac013
fig-000149,njo0047
fig-000150,nba056
fig-000151,loc052
fig-000152,sp061
fig-000153,zip006
fig-000154,nba055
fig-000155,pck009
fig-000156,cas050
fig-000157,sp062
fig-000158,cty0213
fig-000159,rac014
fig-000160,pln038
fig-000161,twn495
fig-000162,cty0111
fig-000163,sw0166a
fig-000164,cty0228
fig-000165,pln084
fig-000166,sw0426
fig-000167,arc013
fig-000168,soc043
fig-000169,cty0482
fig-000170,pln123
fig-000171,col111
fig-000172,ovr040
fig-000173,cas339
fig-000174,zip002
fig-000175,air031
fig-000176,col059
fig-000177,col056
fig-000178,mof012
fig-000179,frnd0167
fig-000180,pop017
fig-000181,ver005
fig-000182,twn049
fig-000183,trc002
fig-000184,cas020
fig-000185,cty0005
fig-000186,tlm006
fig-000187,cty1724
fig-000188,frnd0144
fig-000189,tgb006
fig-000190,sw0425
fig-000191,cas368
fig-000192,frnd0090
fig-000193,njo0045
fig-000194,lom013
fig-000195,adv009
fig-000196,sw0035b
fig-000197,col062
